No,Name,YR,POS,avg,obp,slg,ops,ab,r,h,rbi,double,triple,hr,bb,so,ibb,hbp,kl,sb,cs,sh,sf,rchci,gdp,picked,hitdp,hittp,rcherr,rchfc,ground,fly,adv,lob,rbi-2out,w2outs,wrunners,wrbiops,vsleft,vsright,leadoff,rbi3rd,wloaded,advops,pinchhit
00,Caleb Bowers,Sr,Catcher/Pitcher,.429,.636,.429,1.065,7.0,2.0,3.0,2.0,0,0,0,3.0,0,0,1.0,0,0,0,0,0,0,1.0,0,1.0,0,0,1.0,3.0,1.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0
1,Warren Wilson,So,Outfield,1.000,1.000,2.000,3.000,1.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Austin Taylor,Sr,First Base,.213,.362,.298,.660,47.0,9.0,10.0,2.0,2.0,1.0,0,10.0,8.0,0,1.0,1.0,2.0,1.0,0,0,0,0,0,0,0,2.0,2.0,8.0,19.0,2.0,16.0,0,0,0,0,0,0,0,0,0,0,0
7,Chase Gartner,So,First Base,.000,.000,.000,.000,1.0,0.0,0.0,0.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Baxter Tedesco,Fr,Infield,.385,.442,.538,.980,39.0,6.0,15.0,9.0,3.0,0,1.0,4.0,11.0,0,0,4.0,4.0,0,2.0,0,0,1.0,0,1.0,0,1.0,0,9.0,4.0,6.0,9.0,2.0,0,0,0,0,0,0,0,0,0,0
10,Bryce Dreher,Sr,Catcher,.129,.308,.161,.469,31.0,5.0,4.0,2.0,1.0,0,0,4.0,11.0,0,4.0,4.0,0,1.0,2.0,0,0,1.0,0,2.0,0,2.0,0,11.0,4.0,3.0,9.0,2.0,0,0,0,0,0,0,0,0,0,0
14,Henry Mitcham,Sr,Infield,.333,.357,.481,.839,54.0,7.0,18.0,10.0,5.0,0,1.0,2.0,6.0,0,0,0,1.0,0,0,0,0,1.0,0,2.0,0,2.0,1.0,12.0,15.0,2.0,12.0,4.0,0,0,0,0,0,0,0,0,0,0
18,Ethan Dillon,Fr,Outfield,.235,.291,.451,.742,51.0,12.0,12.0,11.0,2.0,0,3.0,4.0,22.0,0,0,4.0,4.0,0,2.0,0,0,0,0,1.0,0,1.0,2.0,11.0,7.0,3.0,10.0,5.0,0,0,0,0,0,0,0,0,0,0
19,Chris Hedinger,So,Outfield,.191,.264,.319,.583,47.0,5.0,9.0,5.0,3.0,0,1.0,4.0,8.0,0,1.0,2.0,2.0,0,0,1.0,0,0,0,0,0,1.0,1.0,6.0,23.0,5.0,8.0,0,0,0,0,0,0,0,0,0,0,0
24,Colin McElfresh,Sr,Outfield,.250,.250,.250,.500,4.0,0.0,1.0,0.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Seita Shiratori,Jr,Infield,.388,.464,.429,.893,49.0,8.0,19.0,11.0,2.0,0,0,6.0,3.0,0,1.0,2.0,4.0,1.0,0,0,0,0,0,0,0,2.0,2.0,15.0,10.0,1.0,6.0,2.0,0,0,0,0,0,0,0,0,0,0
28,Houston Manning,Jr,First Base,.500,.600,.500,1.100,4.0,1.0,2.0,2.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0
29,Trevor Watkins,Fr,Catcher,.000,.000,.000,.000,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Max Finn,Fr,Infield,.342,.426,.632,1.057,38.0,11.0,13.0,12.0,0,1.0,3.0,7.0,8.0,0,0,2.0,3.0,1.0,0,2.0,0,0,0,0,0,0,3.0,7.0,11.0,6.0,8.0,5.0,0,0,0,0,0,0,0,0,0,0
32,Ashton Miller,So,Outfield,.000,.000,.000,.000,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Calvin Schubert,Sr,Outfield,.200,.333,.200,.533,5.0,0.0,1.0,1.0,0,0,0,0,1.0,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Camden McAtee,Jr,Outfield,.000,.000,.000,.000,1.0,0.0,0.0,0.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Riley Hill,Jr,Utility,.167,.318,.194,.513,36.0,8.0,6.0,1.0,1.0,0,0,4.0,10.0,0,4.0,1.0,0,1.0,1.0,0,0,0,0,0,0,2.0,0,11.0,7.0,1.0,6.0,1.0,0,0,0,0,0,0,0,0,0,0
